User,In,Out,Total Seconds,Messages
kentcdodds,1/14/2014 10:31:35,1/14/2014 11:28:54,00:57:19,I think I'm going to try to bring in requirejs...; Going to wait on requirejs...; Bathroom break
kentcdodds,1/14/2014 11:40:31,1/14/2014 12:09:32,00:29:02,Getting lunch
kentcdodds,1/14/2014 12:16:15,1/14/2014 12:22:30,00:06:15,Back for a few minutes; Going to class!
kentcdodds,1/14/2014 14:42:51,1/14/2014 15:18:15,00:35:25,"working during class... Yeah, I know..."
kentcdodds,1/14/2014 15:45:41,1/14/2014 15:48:07,00:02:26,Forgot I have a few other things I have to do before I can do the things I want to do...
kentcdodds,1/14/2014 16:08:18,1/14/2014 16:25:44,00:17:26,"Who cares about that other stuff, let's code!; Gotta go home now!"
kentcdodds,1/14/2014 21:30:06,1/14/2014 23:44:41,02:14:35,Getting sorta tired. I think I am done...
